transformacion,lambda,alpha,rmse,mse
bc,0.1,0.005,0.0037503657,1.4065244e-05
bc,0.1,0.05,0.00339486,1.1525075e-05
bc,0.1,0.1,0.003330677,1.109341e-05
bc,0.1,0.2,0.0033160164,1.0995965e-05
bc,0.1,0.5,0.0033860647,1.1465434e-05
bc,0.1,0.8,0.003314853,1.098825e-05
bc,-0.2,0.005,0.002684018,7.203953e-06
bc,0.2,0.005,0.0032462731,1.053829e-05
bc,-0.2,0.05,0.002684018,7.203953e-06
bc,0.2,0.05,0.0029136722,8.4894855e-06
bc,-0.2,0.1,0.002684018,7.203953e-06
bc,0.2,0.1,0.002871174,8.24364e-06
bc,-0.2,0.2,0.002684018,7.203953e-06
bc,0.2,0.2,0.0028783677,8.285001e-06
bc,-0.2,0.5,0.002684018,7.203953e-06
bc,0.2,0.5,0.0029987271,8.992364e-06
bc,-0.2,0.8,0.002684018,7.203953e-06
bc,0.2,0.8,0.003008342,9.050123e-06
bc,-0.5,0.005,0.002684018,7.203953e-06
bc,0.5,0.005,0.0023858787,5.6924173e-06
bc,-0.5,0.05,0.002684018,7.203953e-06
bc,0.5,0.05,0.0020884774,4.361738e-06
bc,-0.5,0.1,0.002684018,7.203953e-06
bc,0.5,0.1,0.002077127,4.314457e-06
bc,-0.5,0.2,0.002684018,7.203953e-06
bc,0.5,0.2,0.0021533829,4.6370583e-06
bc,-0.5,0.5,0.002684018,7.203953e-06
bc,0.5,0.5,0.0024608215,6.055643e-06
bc,-0.5,0.8,0.002684018,7.203953e-06
bc,0.5,0.8,0.002649231,7.0184255e-06
bc,1.2,0.005,0.0022441554,5.0362337e-06
bc,1.2,0.05,0.001975512,3.902647e-06
bc,1.2,0.1,0.0020144565,4.0580353e-06
bc,1.2,0.2,0.0021908716,4.7999188e-06
bc,1.2,0.5,0.0025637667,6.5729e-06
bc,1.2,0.8,0.0027623144,7.630381e-06
bc,1.5,0.005,0.0026291248,6.9122975e-06
bc,1.5,0.05,0.0022804711,5.2005485e-06
bc,1.5,0.1,0.0023122109,5.346319e-06
bc,1.5,0.2,0.0025143782,6.3220978e-06
bc,1.5,0.5,0.0029366012,8.623627e-06
bc,1.5,0.8,0.0031016932,9.6205e-06
bc,-1,0.005,0.002684018,7.203953e-06
bc,1,0.005,0.002136392,4.564171e-06
bc,-1,0.05,0.002684018,7.203953e-06
bc,1,0.05,0.0018569295,3.4481873e-06
bc,-1,0.1,0.002684018,7.203953e-06
bc,1,0.1,0.0018779325,3.5266303e-06
bc,-1,0.2,0.002684018,7.203953e-06
bc,1,0.2,0.0020191222,4.076855e-06
bc,-1,0.5,0.002684018,7.203953e-06
bc,1,0.5,0.0024308963,5.9092567e-06
bc,-1,0.8,0.002684018,7.203953e-06
bc,1,0.8,0.0026557685,7.053106e-06
bc,2,0.005,0.0031605475,9.98906e-06
bc,2,0.05,0.002906432,8.447346e-06
bc,2,0.1,0.0028530867,8.140104e-06
bc,2,0.2,0.0030407284,9.246029e-06
bc,2,0.5,0.0035633428,1.2697413e-05
bc,2,0.8,0.003620089,1.3105044e-05
yj,0.1,0.005,0.0023111128,5.3412423e-06
yj,0.1,0.05,0.0020083461,4.033454e-06
yj,0.1,0.1,0.0019995142,3.9980573e-06
yj,0.1,0.2,0.002089495,4.3659893e-06
yj,0.1,0.5,0.0024282692,5.8964915e-06
yj,0.1,0.8,0.0026391188,6.9649486e-06
yj,-0.2,0.005,0.002452873,6.0165858e-06
yj,0.2,0.005,0.0022680138,5.143886e-06
yj,-0.2,0.05,0.002139676,4.578213e-06
yj,0.2,0.05,0.0019681174,3.873486e-06
yj,-0.2,0.1,0.0021250222,4.51572e-06
yj,0.2,0.1,0.001962868,3.8528506e-06
yj,-0.2,0.2,0.0021994754,4.837692e-06
yj,0.2,0.2,0.0020587512,4.2384563e-06
yj,-0.2,0.5,0.002499175,6.2458757e-06
yj,0.2,0.5,0.0024109054,5.812465e-06
yj,-0.2,0.8,0.0026743074,7.1519207e-06
yj,0.2,0.8,0.0026297208,6.915431e-06
yj,-0.5,0.005,0.002606438,6.793519e-06
yj,0.5,0.005,0.0021629897,4.6785244e-06
yj,-0.5,0.05,0.00228478,5.2202195e-06
yj,0.5,0.05,0.0018727414,3.5071605e-06
yj,-0.5,0.1,0.0022591676,5.1038387e-06
yj,0.5,0.1,0.0018753917,3.5170942e-06
yj,-0.5,0.2,0.002318462,5.375265e-06
yj,0.5,0.2,0.0019875641,3.950411e-06
yj,-0.5,0.5,0.0025819822,6.6666316e-06
yj,0.5,0.5,0.0023805106,5.6668305e-06
yj,-0.5,0.8,0.0027236177,7.418093e-06
yj,0.5,0.8,0.002617617,6.851918e-06
yj,1.2,0.005,0.0021771868,4.740142e-06
yj,1.2,0.05,0.0018861272,3.5574756e-06
yj,1.2,0.1,0.0019023214,3.6188264e-06
yj,1.2,0.2,0.0020411778,4.1664066e-06
yj,1.2,0.5,0.0025004656,6.2523286e-06
yj,1.2,0.8,0.002709062,7.339017e-06
yj,1.5,0.005,0.002348801,5.5168653e-06
yj,1.5,0.05,0.0020389054,4.1571357e-06
yj,1.5,0.1,0.0020580133,4.235419e-06
yj,1.5,0.2,0.002209045,4.8798793e-06
yj,1.5,0.5,0.0026819473,7.192841e-06
yj,1.5,0.8,0.002862617,8.1945755e-06
